"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","eissn","unique-id"
"ISI:000362601200005","Article","Eric A. Coleman and Esther Mwangi","{Conflict, Cooperation, and Institutional Change on the Commons}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{855-865}","{OCT}","{Rational choice scholarship posits two principal theories to explain why
   political institutions emerge and change: cooperation theory and
   conflict theory. We evaluate cooperation theory and conflict theory to
   explain the emergence of common property institutions among a group of
   Maasai pastoralists in southwestern Kenya. Our empirical results show
   that the change to common property is best explained by conflict theory.}","{10.1111/ajps.12137}","{0092-5853}","{1540-5907}","{ISI:000362601200005}"
"ISI:000362601200006","Article","Daniel Diermeier and Carlo Prato and Razvan Vlaicu","{Procedural Choice in Majoritarian Organizations}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{866-879}","{OCT}","{A puzzling feature of self-governing organizations is persistent
   majority support for restrictive, seemingly nonmajoritarian, procedures
   (e.g., chairs and committees). This article provides a theory of
   self-enforcing majoritarian commitment to restrictive procedures. We ask
   (1) why majorities consent to restrictive procedures in the first place,
   (2) why restrictive procedures survive challenges thereafter, and (3)
   with what policy consequences. In the model, a risk-averse majority
   allocates procedural rights to increase procedural efficiency (i.e.,
   reduce the procedural uncertainty of free-for-all bargaining). An
   equilibrium procedure is generally asymmetric and restrictive,
   generating nonmajoritarian policy bias. Still, a majority may persist in
   endorsing it so as to avoid amplifying procedural and policy
   uncertainty.}","{10.1111/ajps.12142}","{0092-5853}","{1540-5907}","{ISI:000362601200006}"
"ISI:000362601200007","Article","Brandon L. Bartels and Andrew J. O'Geen","{The Nature of Legal Change on the US Supreme Court: Jurisprudential
   Regimes Theory and Its Alternatives}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{880-895}","{OCT}","{Jurisprudential regimes theory (JRT) posits that legal change on the
   U.S. Supreme Court occurs in a drastic, structural-break-like manner.
   Methodological debates present conflicting evidence for JRT, which has
   implications for the important law versus ideology debate. We confront
   this debate by first elaborating two alternative theoretical
   perspectives to JRTevolutionary change and legal stability. Our
   analytical framework focuses on two key substantive effects of
   jurisprudential categories on the Court's case outcomesrelative
   differences between categories over multiple time periods and
   longitudinal differences across time periods. Importantly, different
   pieces of empirical evidence can provide support for different dynamic
   processes. The extent to which law matters is not necessarily tied to
   one particular model of legal change. Empirical analysis of updated and
   backdated free expression data generates key findings consistent with
   JRT, legal stability, and evolutionary change. We discuss the
   implications of the results for understanding legal change and legal
   influence.}","{10.1111/ajps.12147}","{0092-5853}","{1540-5907}","{ISI:000362601200007}"
"ISI:000362601200008","Article","Patrick Flavin and Michael T. Hartney","{When Government Subsidizes Its Own: Collective Bargaining Laws as Agents
   of Political Mobilization}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{896-911}","{OCT}","{Government policies can activate a political constituency not only by
   providing material resources to, or altering the interpretive
   experiences of, individual citizens, but also by directly subsidizing
   established interest groups. We argue that state laws mandating
   collective bargaining for public employees provided organizational
   subsidies to public sector labor unions that lowered the costs of
   mobilizing their members to political action. Exploiting variation in
   the timing of laws across the states and using data on the political
   participation of public school teachers from 1956 to 2004, we find that
   the enactment of a mandatory bargaining law significantly boosted
   subsequent political participation among teachers. We also identify
   increased contact from organized groups seeking to mobilize teachers as
   a likely mechanism that explains this finding. These results have
   important implications for the current debate over collective bargaining
   rights and for our understanding of policy feedback, political parties
   and interest groups, and the bureaucracy.}","{10.1111/ajps.12163}","{0092-5853}","{1540-5907}","{ISI:000362601200008}"
"ISI:000362601200009","Article","Alan S. Gerber and Gregory A. Huber and Marc Meredith and Daniel R. Biggers and David J. Hendry","{Can Incarcerated Felons Be (Re)integrated into the Political System?
   Results from a Field Experiment}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{912-926}","{OCT}","{How does America's high rate of incarceration shape political
   participation? Few studies have examined the direct effects of
   incarceration on patterns of political engagement. Answering this
   question is particularly relevant for the 93\% of formerly incarcerated
   individuals who are eligible to vote. Drawing on new administrative data
   from Connecticut, we present evidence from a field experiment showing
   that a simple informational outreach campaign to released felons can
   recover a large proportion of the reduction in participation observed
   following incarceration. The treatment effect estimates imply that
   efforts to reintegrate released felons into the political process can
   substantially reduce the participatory consequences of incarceration.}","{10.1111/ajps.12166}","{0092-5853}","{1540-5907}","{ISI:000362601200009}"
"ISI:000362601200010","Article","Daniel Treisman","{Income, Democracy, and Leader Turnover}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{927-942}","{OCT}","{While some believe that economic development prompts democratization,
   others contend that both result from distant historical causes. Using
   the most comprehensive estimates of national income available, I show
   that development is associated with more democratic governmentbut mostly
   in the medium run (10 to 20 years). This is because higher income tends
   to induce breakthroughs to more democratic politics only after an
   incumbent dictator leaves office. And in the short run, faster economic
   growth increases the ruler's survival odds. Leader turnover appears to
   matter because of selection: In authoritarian states, reformist leaders
   tend to either democratize or lose power relatively quickly, so
   long-serving leaders are rarely reformers. Autocrats also become less
   activist after their first year in office. This logic helps explain why
   dictators, concerned only to prolong their rule, often inadvertently
   prepare their countries for jumps to democracy after they leave the
   scene.}","{10.1111/ajps.12135}","{0092-5853}","{1540-5907}","{ISI:000362601200010}"
"ISI:000362601200011","Article","John Wilkerson and David Smith and Nicholas Stramp","{Tracing the Flow of Policy Ideas in Legislatures: A Text Reuse Approach}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{943-956}","{OCT}","{This article proposes a new approach to investigating the substance of
   lawmaking. Only a very small proportion of bills become law in the U.S.
   Congress. However, the bills that do become law often serve as vehicles
   for language originating in other bills. We investigate text reuse
   methods as a means for tracing the progress of policy ideas in
   legislation. We then show how a focus on policy ideas leads to new
   insights into the lawmaking process. Although our focus is on relating
   content found within bills, the same methods can be used to study policy
   substance across many research domains.}","{10.1111/ajps.12175}","{0092-5853}","{1540-5907}","{ISI:000362601200011}"
"ISI:000362601200012","Article","Fabrizio Gilardi","{The Temporary Importance of Role Models for Women's Political
   Representation}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{957-970}","{OCT}","{This article investigates the supply side of women's political
   representation by focusing on how the election of female politicians
   affects the motivation of women to run for office in other units. The
   analysis relies on an original data set of over 1,500 municipal
   elections in Switzerland, starting with the first election after the
   introduction of women's suffrage. In the first election in which women
   could participate, the election of a woman in a given municipality was
   associated in the next election with an additional female candidate in
   10\% of its neighbors. The relationship decreases over time, fades away
   after 16 years, and is driven primarily by new female candidates in
   units where no female incumbents are running for reelection. These
   findings suggest that role models are important for improving women's
   representation, but only in its early stages. This conclusion could be
   relevant for understanding the political representation of other
   underrepresented groups.}","{10.1111/ajps.12155}","{0092-5853}","{1540-5907}","{ISI:000362601200012}"
"ISI:000362601200013","Article","Jennifer L. Selin","{What Makes an Agency Independent?}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{971-987}","{OCT}","{The responsiveness of government agencies to elected officials is a
   central question in democratic governance. A key source of variation in
   responsiveness is agency structure. Yet scholars often view agencies as
   falling into broad structural categories (e.g., cabinet departments or
   independent commissions) or fixate on some features of design (e.g., for
   cause protections). I develop new estimates of structural independence
   based on new data on 50 different structural features of 321 federal
   agencies in the federal executive establishment. Using a Bayesian latent
   variable model, I estimate independence on two dimensions: limits on the
   appointment of key agency decision makers and limits on political review
   of agency policy. I illustrate the value of this new measure by using it
   to examine how structure affects political influence and how agency
   independence can vary over time.}","{10.1111/ajps.12161}","{0092-5853}","{1540-5907}","{ISI:000362601200013}"
"ISI:000362601200014","Article","Jack S. Levy and Michael K. McKoy and Paul Poast and Geoffrey P. R. Wallace","{Backing Out or Backing In? Commitment and Consistency in Audience Costs
   Theory}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{988-1001}","{OCT}","{Audience costs theory posits that domestic publics punish leaders for
   making an external threat and then backing down. One key mechanism
   driving this punishment involves the value the public places on
   consistency between their leaders' statements and actions. If true, this
   mechanism should operate not only when leaders fail to implement
   threats, but also when they fail to honor promises to stay out of a
   conflict. We use a survey experiment to examine domestic responses to
   the president's decision to back down from public threats and back into
   foreign conflicts. We find the president loses support in both cases,
   but suffers more for backing out than backing in. These differential
   consequences are partially explained by asymmetries in the public's
   treatment of new information. Our findings strongly suggest that
   concerns over consistency undergird audience costs theory and that
   punishment for inconsistency will be incurred, regardless of the
   leader's initial policy course.}","{10.1111/ajps.12197}","{0092-5853}","{1540-5907}","{ISI:000362601200014}"
"ISI:000362601200015","Article","Rachael K. Hinkle","{Into the Words: Using Statutory Text to Explore the Impact of Federal
   Courts on State Policy Diffusion}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{1002-1021}","{OCT}","{I examine the impact federal appellate courts have on state policy
   diffusion through the use of computational text analysis. Using a dyadic
   framework, I model the impact courts have on the decision to adopt a
   policy and, if adopted, how much text to borrow directly from another
   state's preexisting law. A court decision ruling a statute
   unconstitutional can generate up to a 28\% relative reduction in the
   probability of adoption, and a ruling of constitutionality can both
   increase the probability of adoption by a similar amount and more than
   double the amount of borrowed text. These findings shed light on how
   states learn from one another.}","{10.1111/ajps.12160}","{0092-5853}","{1540-5907}","{ISI:000362601200015}"
"ISI:000362601200016","Article","Diana Z. O'Brien","{Rising to the Top: Gender, Political Performance, and Party Leadership
   in Parliamentary Democracies}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{1022-1039}","{OCT}","{Party leaders are the main actors controlling campaign strategies,
   policy agendas, and government formation in advanced parliamentary
   democracies. Little is known, however, about gender and party
   leadership. This article examines gendered leadership patterns across 71
   political parties in 11 parliamentary democracies between 1965 and 2013.
   It shows that men and women have different access to, and experiences
   in, party leadership and that these gendered political opportunity
   structures are shaped by parties' political performances. Women are more
   likely to initially come to power in minor opposition parties and those
   that are losing seat share. Once selected for the position, female
   leaders are more likely to retain office when their parties gain seats,
   but they are also more likely to leave the post when faced with an
   unfavorable trajectory. Together, these results demonstrate that
   prospective female leaders are playing by a different (and often more
   demanding) set of rules than their male counterparts.}","{10.1111/ajps.12173}","{0092-5853}","{1540-5907}","{ISI:000362601200016}"
"ISI:000362601200017","Article","Gijs Schumacher and Marc van de Wardt and Barbara Vis and Michael Baggesen Klitgaard","{How Aspiration to Office Conditions the Impact of Government
   Participation on Party Platform Change}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{1040-1054}","{OCT}","{Considerable ambiguity exists regarding the effect of
   government/opposition status on party platform change. Existing theories
   predict that (1) it has no effect, (2) opposition parties change more,
   (3) opposition parties change more after several spells in opposition,
   and (4) parties' responses vary because of different goal orientations.
   We propose that a party's aspiration to office, measured by its
   historical success or failure in entering office, determines a party's
   reaction to being in opposition or government. We hypothesize that,
   because of loss aversion, parties with low office aspiration change more
   when they are in government than when they are in opposition.
   Conversely, parties with high office aspiration change more as
   opposition party than as government party. We find evidence for these
   hypotheses through a pooled time-series cross-sectional analysis of
   1,686 platform changes in 21 democracies, using the Comparative
   Manifesto Data and an innovative measure of party platform change.}","{10.1111/ajps.12174}","{0092-5853}","{1540-5907}","{ISI:000362601200017}"
"ISI:000362601200018","Article","Adam N. Glynn and Nahomi Ichino","{Using Qualitative Information to Improve Causal Inference}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{1055-1071}","{OCT}","{Using the Rosenbaum (2002, 2009) approach to observational studies, we
   show how qualitative information can be incorporated into quantitative
   analyses to improve causal inference in three ways. First, by including
   qualitative information on outcomes within matched sets, we can
   ameliorate the consequences of the difficulty of measuring those
   outcomes, sometimes reducing p-values. Second, additional information
   across matched sets enables the construction of qualitative confidence
   intervals on effect size. Third, qualitative information on unmeasured
   confounders within matched sets reduces the conservativeness of
   Rosenbaum-style sensitivity analysis. This approach accommodates small
   to medium sample sizes in a nonparametric framework, and therefore it
   may be particularly useful for analyses of the effects of policies or
   institutions in a small number of units. We illustrate these methods by
   examining the effect of using plurality rules in transitional
   presidential elections on opposition harassment in 1990s sub-Saharan
   Africa.}","{10.1111/ajps.12154}","{0092-5853}","{1540-5907}","{ISI:000362601200018}"
"ISI:000362601200019","Article","Sunhee Park and David J. Hendry","{Reassessing Schoenfeld Residual Tests of Proportional Hazards in
   Political Science Event History Analyses}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{4}","{1072-1087}","{OCT}","{An underlying assumption of proportional hazards models is that the
   effect of a change in a covariate on the hazard rate of event occurrence
   is constant over time. For scholars using the Cox model, a Schoenfeld
   residual-based test has become the disciplinary standard for detecting
   violations of this assumption. However, using this test requires
   researchers to make a choice about a transformation of the time scale.
   In practice, this choice has largely consisted of arbitrary decisions
   made without justification. Using replications and simulations, we
   demonstrate that the decision about time transformations can have
   profound implications for the conclusions reached. In particular, we
   show that researchers can make far more informed decisions by paying
   closer attention to the presence of outlier survival times and levels of
   censoring in their data. We suggest a new standard for best practices in
   Cox diagnostics that buttresses the current standard with in-depth
   exploratory data analysis.}","{10.1111/ajps.12176}","{0092-5853}","{1540-5907}","{ISI:000362601200019}"
"ISI:000360106200001","Article","Kyla Jo Mcentire and Michele Leiby and Matthew Krain","{Human Rights Organizations as Agents of Change: An Experimental
   Examination of Framing and Micromobilization}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{407-426}","{AUG}","{Human Right Organizations (HROs) attempt to shape individuals' values
   and mobilize them to act. Yet little systematic research has been done
   to evaluate the efficacy of these efforts. We identified the three most
   common messaging techniques: (1) informational frames; (2) personal
   frames; and (3) motivational frames. We tested their efficacy using an
   experimental research design in which participants were randomly
   assigned to the control group (shown no campaign materials) or one of
   the treatment groups shown a campaign against sleep deprivation
   featuring one of these framing strategies. We then surveyed participants
   regarding their attitudes and their willingness to act. Results
   demonstrate that all three framing strategies are more effective at
   mobilizing consensus than action. Personal narratives are the most
   consistently successful, increasing individuals' sense of knowledge on
   the issue and their emotional reaction to the issue, leading them to
   reject the practice and participate in a campaign to demand its
   cessation.}","{10.1017/S0003055415000295}","{0003-0554}","{1537-5943}","{ISI:000360106200001}"
"ISI:000360106200002","Article","Alexandra Avdeenko and Michael J. Gilligan","{International Interventions to Build Social Capital: Evidence from a
   Field Experiment in Sudan}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{427-449}","{AUG}","{Increasingly the international community attempts to improve local
   public infrastructure in developing countries by creating more
   participatory local governance and social capital. We report on a
   randomized field experiment conducted in 24 communities (16 treated and
   8 control) in rural Sudan. We offer a clearer theoretical statement of
   how these programs might alter the political landscape of the recipient
   villages. We measure norms using lab-in-the-field techniques and we
   measure network density with a survey of our 475 lab subjects. We
   appraise the participatory character of local governance and civic
   participation with a survey of 576 households. The program did not
   affect either networks or norms, but civic participation and the
   participatory nature of local governance increased. Thus we attribute
   the increase in citizen participation not to social capital growth but
   to more open local governing institutions.}","{10.1017/S0003055415000210}","{0003-0554}","{1537-5943}","{ISI:000360106200002}"
"ISI:000360106200003","Article","James D. Fearon and Macartan Humphreys and Jeremy M. Weinstein","{How Does Development Assistance Affect Collective Action Capacity?
   Results from a Field Experiment in Post-Conflict Liberia}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{450-469}","{AUG}","{Social cooperation is critical to a wide variety of political and
   economic outcomes. For this reason, international donors have embraced
   interventions designed to strengthen the ability of communities to solve
   collective-action problems, especially in post-conflict settings. We
   exploit the random assignment of a development program in Liberia to
   assess the effects of such interventions. Using a matching funds
   experiment we find evidence that these interventions can alter
   cooperation capacity. However, we observe effects only in communities in
   which, by design, both men and women faced the collective action
   challenge. Focusing on mechanisms, we find evidence that program effects
   worked through improvements in mobilization capacity that may have
   enhanced communities' ability to coordinate to solve mixed gender
   problems. These gains did not operate in areas where only women took
   part in the matching funds experiment, possibly because they could rely
   on traditional institutions unaffected by the external intervention. The
   combined evidence suggests that the impact of donor interventions
   designed to enhance cooperation can depend critically on the kinds of
   social dilemmas that communities face, and the flexibility they have in
   determining who should solve them.}","{10.1017/S0003055415000283}","{0003-0554}","{1537-5943}","{ISI:000360106200003}"
"ISI:000360106200004","Article","Arun Agrawal and Ashwini Chhatre and Elisabeth R. Gerber","{Motivational Crowding in Sustainable Development Interventions}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{470-487}","{AUG}","{We used a quasi-experimental research design to study the extent of
   motivational crowding in a recent sustainable development intervention
   in northern India. The project provided participants with both private
   and communal material benefits to enhance their incomes, and
   environmental and social information to inculcate pro-environmental
   motivations. We compared changes in reported motivations of participants
   for conserving forest resources, before and after project
   implementation, with changes in reported motivations of matched
   nonparticipants. We found that villagers who received private economic
   benefits were more likely to change from an environmental to an economic
   motivation for forest protection, whereas those who engaged in communal
   activities related to the project were less likely to change from an
   environmental to an economic motivation. These results, which indicate a
   substantial but conditional degree of motivational crowding, clarify the
   relationships between institutional change, incentives, and motivations
   and have important implications for the design of sustainable
   development interventions.}","{10.1017/S0003055415000209}","{0003-0554}","{1537-5943}","{ISI:000360106200004}"
"ISI:000360106200005","Article","Jakana L. Thomas and Kanisha D. Bond","{Women's Participation in Violent Political Organizations}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{488-506}","{AUG}","{While women have participated in a variety of militarized movements
   across time and space, the determinants of their participation have not
   been examined systematically. In this article, we seek to explain
   variation in women's involvement across different violent political
   organizations. Our research highlights the role that organizational
   attributes play in influencing women's presence in violent groups. We
   evaluate our hypotheses using an original dataset on women's
   participation in and characteristics of 166 violent political
   organizations across 19 African countries from 1950 to 2011. Our
   empirical results show strong support for our argument that
   organization-based opportunities for women's participation explain
   whether female members are present in a group.}","{10.1017/S0003055415000313}","{0003-0554}","{1537-5943}","{ISI:000360106200005}"
"ISI:000360106200006","Article","Simon F. Haeder and Susan Webb Yackee","{Influence and the Administrative Process: Lobbying the US President's
   Office of Management and Budget}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{507-522}","{AUG}","{All administrative processes contain points of entry for politics, and
   the U.S. president's use of the Office of Management and Budget (OMB) to
   review government regulations is no exception. Specifically, OMB review
   can open up a pathway for interest groups to lobby for policy change. We
   theorize that interest group lobbying can be influential during OMB
   review, especially when there is consensus across groups. We use a
   selection model to test our argument with more than 1,500 regulations
   written by federal agencies that were subjected to OMB review. We find
   that lobbying is associated with change during OMB review. We also
   demonstrate that, when only business groups lobby, we are more likely to
   see rule change; however, the same is not true for public interest
   groups. We supplement these results with illustrative examples
   suggesting that interest groups can, at times, use OMB review to
   influence the content of legally binding government regulations.}","{10.1017/S0003055415000246}","{0003-0554}","{1537-5943}","{ISI:000360106200006}"
"ISI:000360106200007","Article","Aaron L. Herold","{Tocqueville on Religion, the Enlightenment, and the Democratic Soul}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{523-534}","{AUG}","{This article proposes a new interpretation of Tocqueville's thought, one
   that focuses on his account of religious psychology. From his
   observations of America, Tocqueville concludes that human beings have a
   natural hope for immortality-a hope that is driven by a paradoxical but
   ineradicable desire to affirm and forget oneself simultaneously.
   Tocqueville formulates this insight as a critique of the Enlightenment
   thinkers who laid the foundations for liberal democracy; I argue that he
   crafts his ``new political science{''} to provide healthy outlets for
   the religious hopes whose existence these thinkers largely denied and
   whose anomalous presence in the United States has accordingly led to
   unforeseen dangers. Tocqueville's analysis not only helps us understand
   and begin to remedy those dissatisfactions that characterize democracy
   today but it also reveals his theoretical depth, political moderation,
   and sober assessment of our moral psychology in a way not seen before.}","{10.1017/S0003055415000258}","{0003-0554}","{1537-5943}","{ISI:000360106200007}"
"ISI:000360106200008","Article","Valerie M. Hudson and Donna Lee Bowen and Perpetua Lynne Nielsen","{Clan Governance and State Stability: The Relationship between Female
   Subordination and Political Order}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{535-555}","{AUG}","{We propose that the relative influence of clans is an important
   explanatory factor producing significant variation in state stability
   and security across societies. We explore the micro-level processes that
   link clan predominance with dysfunctional syndromes of state behavior.
   Clans typically privilege agnatic descent from the patriline and are
   characterized by extreme subordination of women effected through
   marriage practices. Particular types of marriage practices give rise to
   particular types of political orders and may be fiercely guarded for
   just this reason. We construct and validate a Clan Governance Index to
   investigate which variables related to women's subordination to the
   patriline in marriage are useful to include in such an index. We then
   show that clan governance is a useful predictor of indicators of state
   stability and security, and we probe the value added by its inclusion
   with other conventional explanatory variables often linked to state
   stability and security.
   ``I against my brothers; my brothers and I against my cousins; my
   cousins, my brothers, and I against the world{''} (Bedouin saying)
   ``At the heart of tribes, to varying levels, is a severe patriarchy{''}
   (Jacobson 2013, 58).}","{10.1017/S0003055415000271}","{0003-0554}","{1537-5943}","{ISI:000360106200008}"
"ISI:000360106200009","Article","Rachel M. Stein","{War and Revenge: Explaining Conflict Initiation by Democracies}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{556-573}","{AUG}","{While we know much about what differentiates the conflict behavior of
   democracies from autocracies, we know relatively little about why some
   democracies are more belligerent than others. In contrast to existing
   studies, I argue that it is public opinion and not institutions that
   drives these differences. All democratic leaders have an incentive to
   take public opinion into account, but public opinion is not the same
   everywhere. Individuals' attitudes towards war are shaped by core
   beliefs about revenge, which vary across countries. Leaders with more
   vengeful populations will be more likely to initiate conflicts because
   they generate popular support for war more effectively. Using retention
   of capital punishment as a proxy for broad endorsement of revenge, I
   find that democracies that have retained the death penalty for longer
   periods of time are significantly more likely to initiate conflicts.
   This research has important implications for existing theories of
   democracy and war.}","{10.1017/S0003055415000301}","{0003-0554}","{1537-5943}","{ISI:000360106200009}"
"ISI:000360106200010","Article","John Gerring and Maxwell Palmer and Jan Teorell and Dominic Zarecki","{Demography and Democracy: A Global, District-level Analysis of Electoral
   Contestation}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{574-591}","{AUG}","{According to the classical perspective, polity size and democracy are
   inversely related. In this article, we argue that there is an important
   exception that manifests itself at the district level in settings where
   multiparty competition is allowed. Specifically, we find that larger
   districts encourage greater contestation. This results from a
   little-noticed mechanical effect as well as from several features of
   constituencies that are affected by size and have direct repercussions
   for contestation. To demonstrate this thesis we assembled a unique
   dataset, the Multi-level Election Archive (MLEA), which unites electoral
   contests across a variety of districts (national, regional, and local)
   and elective offices from the eighteenth century to the present,
   including a total of 88 countries, 2,344 elections, 79,658 districts,
   and more than 400,000 contests. With this evidence we were able to
   conduct a broad array of statistical tests, some global and others
   focused on particular countries or election types, all of which support
   our general argument.}","{10.1017/S0003055415000234}","{0003-0554}","{1537-5943}","{ISI:000360106200010}"
"ISI:000360106200011","Article","Todd A. Eisenstadt and A. Carl Levan and Tofigh Maboudi","{When Talk Trumps Text: The Democratizing Effects of Deliberation during
   Constitution-Making, 1974-2011}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{592-612}","{AUG}","{Under what circumstances do new constitutions promote democracy? Between
   1974 and 2011, the level of democracy increased in 62 countries
   following the adoption of a new constitution, but decreased or stayed
   the same in 70 others. Using data covering all 138 new constitutions in
   118 countries during that period, we explain this divergence through
   empirical tests showing that overall increased participation during the
   process of making the constitution positively impacts postpromulgation
   levels of democracy. Then, after disaggregating constitution-making into
   three stages (drafting, debating, and ratification) we find compelling
   evidence through robust statistical tests that the degree of citizen
   participation in the drafting stage has amuch greater impact on the
   resulting regime. This lends support to some core principles of
   ``deliberative{''} theories of democracy. We conclude that
   constitutional reformers should focus more on generating public ``buy
   in{''} at the front end of the constitution-making process, rather than
   concentrating on ratification and referendums at the ``back end{''} that
   are unlikely to correct for an ``original sin{''} of limited citizen
   deliberation during drafting.}","{10.1017/S0003055415000222}","{0003-0554}","{1537-5943}","{ISI:000360106200011}"
"ISI:000360106200012","Article","Haifeng Huang","{International Knowledge and Domestic Evaluations in a Changing Society:
   The Case of China}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{613-634}","{AUG}","{Do knowledge and information about foreign countries affect people's
   evaluation of domestic situations? Using unique survey and experimental
   data, this research finds that Chinese citizens with more positive
   perceptions and especially overestimation of foreign socioeconomic
   conditions have more negative evaluations of China and the Chinese
   government. Moreover, correcting socioeconomic misinformation about
   foreign countries improves one's evaluations of China, indicating that
   the causal direction is at least partly from rosier estimation of
   foreign conditions to lower domestic evaluations. The relationship
   between domestic evaluations and international political knowledge, as
   measured by familiarity with political affairs and figures in foreign
   countries, is typically not significant, although awareness of political
   instability in other countries can increase satisfaction with one's own
   country. These results contribute both substantively and conceptually to
   the study of politically relevant knowledge and information, and shed
   new light on the nuances of information flow and opinion formation in
   changing societies.}","{10.1017/S000305541500026X}","{0003-0554}","{1537-5943}","{ISI:000360106200012}"
"ISI:000360106200013","Article","Lars-Erik Cederman and Simon Hug and Andreas Schaedel and Julian Wucherpfennig","{Territorial Autonomy in the Shadow of Conflict: Too Little, Too Late?
   (vol 109, pg 354, 2015)}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{635}","{AUG}",NA,"{10.1017/S0003055415000325}","{0003-0554}","{1537-5943}","{ISI:000360106200013}"
"ISI:000360106200014","Article","R. Blake Mcmahon and Branislav L. Slantchev","{The Guardianship Dilemma: Regime Security through and from the Armed
   Forces (vol 109, pg 297, 2015)}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{636}","{AUG}",NA,"{10.1017/S0003055415000337}","{0003-0554}","{1537-5943}","{ISI:000360106200014}"
"ISI:000360106200015","Article","Douglas L. Kriner and Andrew Reeves","{Presidential Particularism and Divide-the-Dollar Politics (vol 109, pg
   155, 2015)}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2015}","{109}","{3}","{637}","{AUG}",NA,"{10.1017/S0003055415000362}","{0003-0554}","{1537-5943}","{ISI:000360106200015}"
"ISI:000357333200001","Article","Jens Hainmueller and Daniel J. Hopkins","{The Hidden American Immigration Consensus: A Conjoint Analysis of
   Attitudes toward Immigrants}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2015}","{59}","{3}","{529-548}","{JUL}","{Many studies have examined Americans' immigration attitudes. Yet prior
   research frequently confounds multiple questions, including which
   immigrants to admit and how many to admit. To isolate attitudes on the
   former question, we use a conjoint experiment that simultaneously tests
   the influence of nine immigrant attributes in generating support for
   admission. Drawing on a two-wave, population-based survey, we
   demonstrate that Americans view educated immigrants in high-status jobs
   favorably, whereas they view those who lack plans to work, entered
   without authorization, are Iraqi, or do not speak English unfavorably.
   Strikingly, Americans' preferences vary little with their own education,
   partisanship, labor market position, ethnocentrism, or other attributes.
   Beneath partisan divisions over immigration lies a broad consensus about
   who should be admitted to the country. The results are consistent with
   norms-based and sociotropic explanations of immigration attitudes. This
   consensus points to limits in both theories emphasizing economic and
   cultural threats, and sheds new light on an ongoing policy debate.}","{10.1111/ajps.12138}","{0092-5853}","{1540-5907}","{ISI:000357333200001}"
